F10,F11,F13,F14,F1,F2,F3,F4,F9,IATA,ICAO,Latitude,Longtitude,Number of Records,timezone
10,U,airport,OurAirports,1,Goroka Airport,Goroka,Papua New Guinea,5282,GKA,AYGA,-6.081689835,145.391998291,1,Pacific/Port_Moresby
10,U,airport,OurAirports,2,Madang Airport,Madang,Papua New Guinea,20,MAG,AYMD,-5.207079887,145.789001465,1,Pacific/Port_Moresby
10,U,airport,OurAirports,3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,5388,HGU,AYMH,-5.826789856,144.296005249,1,Pacific/Port_Moresby
10,U,airport,OurAirports,4,Nadzab Airport,Nadzab,Papua New Guinea,239,LAE,AYNZ,-6.569803,146.725977,1,Pacific/Port_Moresby
10,U,airport,OurAirports,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,146,POM,AYPY,-9.443380356,147.220001221,1,Pacific/Port_Moresby
10,U,airport,OurAirports,6,Wewak International Airport,Wewak,Papua New Guinea,19,WWK,AYWK,-3.583830118,143.669006348,1,Pacific/Port_Moresby
-3,E,airport,OurAirports,7,Narsarsuaq Airport,Narssarssuaq,Greenland,112,UAK,BGBW,61.160499573,-45.425998688,1,America/Godthab
-3,E,airport,OurAirports,8,Godthaab / Nuuk Airport,Godthaab,Greenland,283,GOH,BGGH,64.19090271,-51.678100586,1,America/Godthab
-3,E,airport,OurAirports,9,Kangerlussuaq Airport,Sondrestrom,Greenland,165,SFJ,BGSF,67.012221899,-50.711603165,1,America/Godthab
-4,E,airport,OurAirports,10,Thule Air Base,Thule,Greenland,251,THU,BGTL,76.531196594,-68.703201294,1,America/Thule
0,N,airport,OurAirports,11,Akureyri Airport,Akureyri,Iceland,6,AEY,BIAR,65.660003662,-18.0727005,1,Atlantic/Reykjavik
0,N,airport,OurAirports,12,Egilsstaðir Airport,Egilsstadir,Iceland,76,EGS,BIEG,65.283302307,-14.401399612,1,Atlantic/Reykjavik
0,N,airport,OurAirports,13,Hornafjörður Airport,Hofn,Iceland,24,HFN,BIHN,64.295601,-15.2272,1,Atlantic/Reykjavik
0,N,airport,OurAirports,14,Húsavík Airport,Husavik,Iceland,48,HZK,BIHU,65.952301,-17.426001,1,Atlantic/Reykjavik
0,N,airport,OurAirports,15,Ísafjörður Airport,Isafjordur,Iceland,8,IFJ,BIIS,66.058097839,-23.135299683,1,Atlantic/Reykjavik
0,N,airport,OurAirports,16,Keflavik International Airport,Keflavik,Iceland,171,KEF,BIKF,63.98500061,-22.605600357,1,Atlantic/Reykjavik
0,N,airport,OurAirports,17,Patreksfjörður Airport,Patreksfjordur,Iceland,11,PFJ,BIPA,65.555801,-23.965,1,Atlantic/Reykjavik
0,N,airport,OurAirports,18,Reykjavik Airport,Reykjavik,Iceland,48,RKV,BIRK,64.129997253,-21.940599442,1,Atlantic/Reykjavik
0,N,airport,OurAirports,19,Siglufjörður Airport,Siglufjordur,Iceland,10,SIJ,BISI,66.133301,-18.9167,1,Atlantic/Reykjavik
0,N,airport,OurAirports,20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,326,VEY,BIVM,63.424301147,-20.278900146,1,Atlantic/Reykjavik
-5,A,airport,OurAirports,21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,630,YAM,CYAM,46.48500061,-84.509399414,1,America/Toronto
-6,A,airport,OurAirports,22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,760,YAV,CYAV,50.056400299,-97.032501221,1,America/Winnipeg
-4,A,airport,OurAirports,23,Halifax / CFB Shearwater Heliport,Halifax,Canada,144,YAW,CYAW,44.639701843,-63.499401092,1,America/Halifax
-3.5,A,airport,OurAirports,24,St. Anthony Airport,St. Anthony,Canada,108,YAY,CYAY,51.391899109,-56.083099365,1,America/St_Johns
-8,A,airport,OurAirports,25,Tofino / Long Beach Airport,Tofino,Canada,80,YAZ,CYAZ,49.079833,-125.775583,1,America/Vancouver
-7,A,airport,OurAirports,26,Kugaaruk Airport,Pelly Bay,Canada,56,YBB,CYBB,68.534401,-89.808098,1,America/Edmonton
-5,A,airport,OurAirports,27,Baie Comeau Airport,Baie Comeau,Canada,71,YBC,CYBC,49.132499695,-68.204399109,1,America/Toronto
-5,A,airport,OurAirports,28,CFB Bagotville,Bagotville,Canada,522,YBG,CYBG,48.330600739,-70.996398926,1,America/Toronto
-6,A,airport,OurAirports,29,Baker Lake Airport,Baker Lake,Canada,59,YBK,CYBK,64.29889679,-96.077796936,1,America/Winnipeg
-8,A,airport,OurAirports,30,Campbell River Airport,Campbell River,Canada,346,YBL,CYBL,49.950801849,-125.271003723,1,America/Vancouver
-6,A,airport,OurAirports,31,Brandon Municipal Airport,Brandon,Canada,1343,YBR,CYBR,49.91,-99.951897,1,America/Winnipeg
-7,A,airport,OurAirports,32,Cambridge Bay Airport,Cambridge Bay,Canada,90,YCB,CYCB,69.108100891,-105.138000488,1,America/Edmonton
-8,A,airport,OurAirports,33,Nanaimo Airport,Nanaimo,Canada,92,YCD,CYCD,49.054970225,-123.869862556,1,America/Vancouver
-8,A,airport,OurAirports,34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,1624,YCG,CYCG,49.296398163,-117.632003784,1,America/Vancouver
-4,A,airport,OurAirports,35,Miramichi Airport,Chatham,Canada,108,YCH,CYCH,47.007801,-65.449203,1,America/Halifax
-4,A,airport,OurAirports,36,Charlo Airport,Charlo,Canada,132,YCL,CYCL,47.990799,-66.330299,1,America/Halifax
-7,A,airport,OurAirports,37,Kugluktuk Airport,Coppermine,Canada,74,YCO,CYCO,67.816703796,-115.143997192,1,America/Edmonton
-7,A,airport,OurAirports,38,Coronation Airport,Coronation,Canada,2595,YCT,CYCT,52.075000763,-111.444999695,1,America/Edmonton
-8,A,airport,OurAirports,39,Chilliwack Airport,Chilliwack,Canada,32,YCW,CYCW,49.152801514,-121.939002991,1,America/Vancouver
-5,A,airport,OurAirports,40,Clyde River Airport,Clyde River,Canada,87,YCY,CYCY,70.486099243,-68.516700745,1,America/Toronto
-5,A,airport,OurAirports,41,Coral Harbour Airport,Coral Harbour,Canada,210,YZS,CYZS,64.19329834,-83.359397888,1,America/Coral_Harbour
-8,A,airport,OurAirports,42,Dawson City Airport,Dawson,Canada,1215,YDA,CYDA,64.04309845,-139.128005981,1,America/Vancouver
-8,A,airport,OurAirports,43,Burwash Airport,Burwash,Canada,2647,YDB,CYDB,61.371101379,-139.041000366,1,America/Vancouver
-8,A,airport,OurAirports,44,Princeton Airport,Princeton,Canada,2298,YDC,CYDC,49.468101502,-120.511001587,1,America/Vancouver
-3.5,A,airport,OurAirports,45,Deer Lake Airport,Deer Lake,Canada,72,YDF,CYDF,49.210800171,-57.391399384,1,America/St_Johns
-8,A,airport,OurAirports,46,Dease Lake Airport,Dease Lake,Canada,2600,YDL,CYDL,58.422199249,-130.031997681,1,America/Vancouver
-6,A,airport,OurAirports,47,Dauphin Barker Airport,Dauphin,Canada,999,YDN,CYDN,51.100799561,-100.052001953,1,America/Winnipeg
-7,A,airport,OurAirports,48,Dawson Creek Airport,Dawson Creek,Canada,2148,YDQ,CYDQ,55.742298126,-120.182998657,1,America/Dawson_Creek
-7,A,airport,OurAirports,49,Edmonton International Airport,Edmonton,Canada,2373,YEG,CYEG,53.309700012,-113.580001831,1,America/Edmonton
-6,A,airport,OurAirports,50,Arviat Airport,Eskimo Point,Canada,32,YEK,CYEK,61.094200134,-94.070800781,1,America/Winnipeg
-6,N,airport,OurAirports,51,Estevan Airport,Estevan,Canada,1905,YEN,CYEN,49.210300446,-102.966003418,1,America/Regina
-7,A,airport,OurAirports,52,Edson Airport,Edson,Canada,3043,YET,CYET,53.578899383,-116.464996338,1,America/Edmonton
-6,A,airport,OurAirports,53,Eureka Airport,Eureka,Canada,256,YEU,CYEU,79.994697571,-85.814201355,1,America/Winnipeg
-7,A,airport,OurAirports,54,Inuvik Mike Zubko Airport,Inuvik,Canada,224,YEV,CYEV,68.304199219,-133.483001709,1,America/Edmonton
-5,A,airport,OurAirports,55,Iqaluit Airport,Iqaluit,Canada,110,YFB,CYFB,63.756401062,-68.555801392,1,America/Toronto
-4,A,airport,OurAirports,56,Fredericton Airport,Fredericton,Canada,68,YFC,CYFC,45.868900299,-66.537200928,1,America/Halifax
-5,A,airport,OurAirports,57,Forestville Airport,Forestville,Canada,293,\N,CYFE,48.746101379,-69.097198486,1,America/Toronto
-6,A,airport,OurAirports,58,Flin Flon Airport,Flin Flon,Canada,997,YFO,CYFO,54.678100586,-101.681999207,1,America/Winnipeg
-7,A,airport,OurAirports,59,Fort Resolution Airport,Fort Resolution,Canada,526,YFR,CYFR,61.180801392,-113.690002441,1,America/Edmonton
-7,A,airport,OurAirports,60,Fort Simpson Airport,Fort Simpson,Canada,555,YFS,CYFS,61.7602005,-121.236999512,1,America/Edmonton
-5,A,airport,OurAirports,61,Kingston Norman Rogers Airport,Kingston,Canada,305,YGK,CYGK,44.225299835,-76.59690094,1,America/Toronto
-5,A,airport,OurAirports,62,La Grande Rivière Airport,La Grande Riviere,Canada,639,YGL,CYGL,53.625301361,-77.704200745,1,America/Toronto
-5,A,airport,OurAirports,63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,112,YGP,CYGP,48.775299072,-64.478599548,1,America/Toronto
-5,A,airport,OurAirports,64,Geraldton Greenstone Regional Airport,Geraldton,Canada,1144,YGQ,CYGQ,49.778301239,-86.939399719,1,America/Toronto
-5,A,airport,OurAirports,65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,35,YGR,CYGR,47.424701691,-61.77809906,1,America/Toronto
-6,N,airport,OurAirports,66,Hudson Bay Airport,Hudson Bay,Canada,1175,YHB,CYHB,52.816699982,-102.310997009,1,America/Regina
